OBJECTID,REF_NUMBER,TIME,SEVERITY,VEHICLES,CASUALTIES,PEDESTRIAN,CYCLES,MCYCLES,CHILDREN,ACCIDENT_DESCRIPTION
2013,161601180,1450,1,2,1,0,0,1,0,2
2025,151601201,543,1,1,1,0,0,0,0,4
2034,161601292,825,1,2,1,1,0,0,0,2
1955,161600479,1420,1,2,1,0,0,0,0,1
1957,161600496,1220,2,1,1,0,0,1,0,1
1970,161600746,1740,1,1,1,1,0,0,0,5
1971,161600747,1720,1,2,1,0,0,1,0,1
1978,161600684,1130,1,2,1,0,0,0,0,3
2053,161601531,1140,1,2,2,0,0,0,0,1
2056,161601553,1814,1,2,1,0,1,0,0,1
2149,161602468,1720,1,2,1,0,0,0,0,2
2161,161602109,710,1,2,1,0,1,0,0,1
2183,161602689,1845,1,1,1,1,0,0,1,5
2188,161602339,1730,1,2,1,0,1,0,0,6
2063,161601581,1100,1,1,1,0,0,0,0,1
2068,161601618,1639,1,2,1,0,0,0,0,4
2074,161601679,2034,2,1,1,1,0,0,0,5
2076,161601746,940,1,2,1,0,1,0,0,3
2077,161601750,1930,1,2,1,0,0,1,0,4
2080,161601769,828,1,2,1,0,1,0,0,2
2082,161601780,2020,1,2,1,0,0,0,0,3
2093,161601859,1912,2,2,1,0,0,1,0,1
2096,161601875,1740,1,1,1,1,0,0,0,1
2113,161601656,1800,1,2,1,0,1,0,0,1
2120,161602057,1353,1,2,1,0,0,0,0,2
2135,161602018,1720,1,2,1,0,1,0,0,1
2137,161602107,820,1,2,1,0,0,1,0,3
2192,161602728,1255,1,2,1,0,0,0,0,2
2199,161602790,1045,1,2,1,0,0,1,0,6
2209,161602878,1445,1,1,1,1,0,0,0,5
2213,161602953,730,1,2,1,0,1,0,1,1
2215,161603002,815,1,2,1,0,0,0,0,2
2221,161603018,2122,1,1,1,1,0,0,1,5
2251,161603351,1720,1,2,1,0,0,1,0,1
2253,161602921,1820,1,2,1,0,0,0,0,2
2254,161602925,1255,1,2,2,0,0,0,0,3
2319,161604104,1727,1,1,1,1,0,0,1,5
2331,161604372,730,1,2,1,0,0,0,0,3
2333,161604384,1121,1,2,1,0,1,0,0,1
2335,161604473,2025,1,2,1,0,0,0,0,2
2338,161604111,1030,1,2,2,0,0,0,0,2
